source,target
JAY‐Z,Pharrell Williams
Chance,Sunkids
Diana Krall,Toots Thielemans
Anthony Newley,Leslie Bricusse
Hugh Laurie,Stephen Fry
Eddie “Lockjaw” Davis,Johnny Griffin
Rell,Ye
Consequence,Rell
Consequence,Ye
Carl Cox,Christian Smith
Joe "Stainless Steel" Barwick,Karsten Obarski
Sinéad O’Connor,Tom Jones
Neuron Compost,Weird Alchemy
DPM,Napper
Bruza,DPM
DPM,Shizzle
Bruza,Napper
Napper,Shizzle
Bruza,Shizzle
Bob Marley & The Wailers,Stevie Wonder
Bob Marley & The Wailers,Wonderlove
Stevie Wonder,Wonderlove
Infernal,Michael Jackson
Erik Kristofferson,Neskvartetten
Busta Rhymes,The Pussycat Dolls
Neskvartetten,Thomas Gustafson
Destiny,The Wingless
Nick Currie,Yukiko Sawabe
Joe Redifer,The Sheriff
NoppZ,Protricity
Christian Pacaud,MAG
George Michael,Paul McCartney
Teairra Marí,Ye
JAY‐Z,Teairra Marí
JAY‐Z,Ye
Growling Mad Scientists,Wrecked Machines
Abstract Rude,The Highlife Movement
Beatdrop,mp
Danny Baranowsky,Ryan Probst
Khalal,Nintendo Guru
Joe Bommarito,mp
Khalal,SFLaValle
Nintendo Guru,SFLaValle
JV,djbrilliant
Compyfox,Steve Pordon
Lyle Mays,Pat Metheny
Chris Martin,The Streets
Charles Blachly,kobash
Drop Trio,Nick Anaya
Drop Trio,Thomas Helton
Nick Anaya,Thomas Helton
Andy Ridley,Del Currie
Destiny’s Child,T.I.
Destiny’s Child,Lil Wayne
Lil Wayne,T.I.
DJ Carbunk1e,Ryan8bit
Hanne Boel,Lars H.U.G.
Baby D,Jeezy
Bun B,Jeezy
JAY‐Z,Jeezy
Jeezy,Too $hort
Jeezy,Lloyd
Lloyd,Too $hort
Boyz n da Hood,Jeezy
Jeezy,Jim Jones
Akon,Jeezy
Boyz n da Hood,Jim Jones
Akon,Boyz n da Hood
Akon,Jim Jones
Jeezy,Trick Daddy
Jeezy,Young Buck
Jeezy,Lil’ Will
Trick Daddy,Young Buck
Lil’ Will,Trick Daddy
Lil’ Will,Young Buck
Jeezy,Slim Thug
Bun B,Slim Thug
Jeezy,Paul Wall
Jeezy,Mannie Fresh
Mannie Fresh,Paul Wall
Chet Atkins,Mark Knopfler
1 Giant Leap,Mahotella Queens
1 Giant Leap,Ulali
Mahotella Queens,Ulali
Andrea Bocelli,Sarah Brightman
Joe Solo,Sparfunk
Jamie Foxx,Twista
Jamie Foxx,Ye
Lethal Bizzle,Twista
Gappy Ranks,Twista
Gappy Ranks,Lethal Bizzle
Alejandra Vieras,Sursilvaz
A Tribe Called Quest,Beastie Boys
Christopher Tin,Talisman A Cappella
Guano Apes,Michael Mittermeier
Elio e le Storie Tese,Paola Cortellesi
Jon Martindill,Star Salzman
Bootie Brown,Gorillaz
Biz Markie,Elephant Man
Jeremy Summerly,Oxford Camerata
松枝賀子,江口貴勅
Ben Edwards,Kyle Krafka
Atiq,Enk
David Bowie,Mick Jagger
Karl Böhm,Wiener Philharmoniker
Joose Keskitalo,Paavoharju
Freeform Five,Mylo
De Don,Meester G.
BT,The Doors
Camile Velasco,South Border
Michael Jackson,Wu‐Tang Clan
Michael Jackson,Mobb Deep
Mobb Deep,Wu‐Tang Clan
Cam’ron,Lady Wray
Nate Cloud,jaxx
Tim Sheehy,jaxx
Scheibosan,eMU
Lita Ford,Ozzy Osbourne
Do Peterson,Gregorio del Laboratorio
Dan Vitek,Joel Tetreault
Mose Vinson,Sonny Blake
Christian Kjellvander,Lise Westzynthius
Dane Bowers,True Steppers
Cosma,Infected Mushroom
DCT,Just Us
764-HERO,Modest Mouse
Gorillaz,Shaun Ryder
DJ Magis,Jan Johnston
Bootsy Collins,Fatboy Slim
Jimmi Jammes,Katie Enlow
Kelis,Too $hort
Adriana A,Dsico
RZA,Rahzel
Bette Midler,Olivia Newton‐John
Goldie Hawn,Olivia Newton‐John
Cher,Olivia Newton‐John
Meryl Streep,Olivia Newton‐John
Lily Tomlin,Olivia Newton‐John
Bette Midler,Goldie Hawn
Bette Midler,Cher
Bette Midler,Meryl Streep
Bette Midler,Lily Tomlin
Cher,Goldie Hawn
Goldie Hawn,Meryl Streep
Goldie Hawn,Lily Tomlin
Cher,Meryl Streep
Cher,Lily Tomlin
Lily Tomlin,Meryl Streep
Alex Veitch,Joel Veitch
DJ Vix-N,DM Ashura
DJ SIMON,DM Ashura
DM Ashura,FIXX
Daknit,Eric Dude
DM Ashura,Inspector K
D.J.Amuro,DM Ashura
Mike Gordon,Trey Anastasio
Benevento/Russo Duo,Trey Anastasio
Benevento/Russo Duo,Mike Gordon
Dolly Parton,Melissa Etheridge
Rob Balder,Tom Smith
Peter Davison,Sandra Dickinson
Dale North,Joshie
Bing Crosby,Lindsay Crosby
Erik Richter,Michael Kohler
劉德華,梁朝偉
Eddie Horst,Sonny Sharrock
李克勤,譚詠麟
Bang Bang,Kubus
Bela B.,Charlotte Roche
Armand van Helden,Roger Sanchez
N’Dea Davenport,Roger Sanchez
Armand van Helden,N’Dea Davenport
Acid Pauli,Johnny Cash
DJ 4t4,Mauro Pawlowski
Adam D.,richter
The Beatles,Tony Sheridan
Brothersynthe,Trenthian
Bushido,Eko Fresh
Aceyalone,Antipop Consortium
Armin van Buuren,Ray Wilson
Paul van Dyk,Second Sun
Gina Dootson,The Thrillseekers
Justin Timberlake,Timbaland
Akira the Don,Olivia Newton‐John
Akira the Don,John Travolta
Akira the Don,Ol’ Dirty Bastard
Akira the Don,Lil Jon
Akira the Don,Benny Benassi
Akira the Don,Ludacris
Akira the Don,Nate Dogg
John Travolta,Olivia Newton‐John
Olivia Newton‐John,Ol’ Dirty Bastard
Lil Jon,Olivia Newton‐John
Benny Benassi,Olivia Newton‐John
Ludacris,Olivia Newton‐John
Nate Dogg,Olivia Newton‐John
John Travolta,Ol’ Dirty Bastard
John Travolta,Lil Jon
Benny Benassi,John Travolta
John Travolta,Ludacris
John Travolta,Nate Dogg
Lil Jon,Ol’ Dirty Bastard
Benny Benassi,Ol’ Dirty Bastard
Ludacris,Ol’ Dirty Bastard
Nate Dogg,Ol’ Dirty Bastard
Benny Benassi,Lil Jon
Lil Jon,Nate Dogg
Benny Benassi,Ludacris
Benny Benassi,Nate Dogg
Ludacris,Nate Dogg
El,Ridgewalkers
Jessica Jacobs,Max Graham
Gwen Stefani,Pharrell Williams
Akira the Don,Tom Petty
Akira the Don,Mef
Mef,Tom Petty
Reel 2 Real,The Mad Stuntman
Scott Bond,Solarstone
Beatallica,Mike Portnoy
Lee Hazlewood,Nancy Sinatra
Kimmo Kajasto,Kärtsy Hatakka
DJ Riko,Marcie
DJ Riko,Michael Jordan
Metropole Orkest,Within Temptation
Leon Thomas,Louis Armstrong
Imogen Bailey,Michael Woods
KRS‐One,dj BC
Joshua Morse,Posu Yan
Ted Chippington,The Nightingales
Fuzzbox,The Nightingales
Fuzzbox,Ted Chippington
DragonAvenger,EFields
Abram McCalment,Jared Hudson
Geoffrey Taucer,djpretzel
Mustin,Scott Peeples
Bill Haley and His Comets,Carrie Grant
DJ Drama,Young Dro
DJ Drama,T.I.
T.I.,Young Dro
Ciara,Ludacris
Chamillionaire,Ciara
Magoo,Timbaland
Fatman Scoop,Timbaland
Fatman Scoop,Magoo
DrumUltimA,MomUltimA
Геннадий Николаевич Рождественский,Государственный cимфонический оркестр Министерства культуры СССР
Государственный cимфонический оркестр Министерства культуры СССР,Наталья Гутман
Геннадий Николаевич Рождественский,Наталья Гутман
Tarantas,Евгений Шабалин
Gnessin Academy Chamber Orchestra,Юрий Николаевский
Gnessin Academy Chamber Orchestra,Наталья Гутман
Наталья Гутман,Юрий Николаевский
Anthony Newley,Delia Derbyshire
Paul Baxter,Star Salzman
Amanda Abizaid,Bosshouse
B‐Real,Defari
Defari,J‐Ro
B‐Real,J‐Ro
Jem & the Holograms,They Might Be Giants
Defari,Evidence
Defari,Threat
J‐Ro,Threat
Defari,Tuffy
Boo Kapone,Defari
Boo Kapone,Tuffy
Defari,Dilated Peoples
Beatdrop,Children of the Monkey Machine
Beatdrop,K. Praslowicz
Children of the Monkey Machine,K. Praslowicz
Warmth,aneurySm
Tedashii,Trip Lee
1-Lyfe,Lecrae
Diamone,Tedashii
Lecrae,Rick Trotter
Lecrae,Trip Lee
Aurora,SGX
SGX,destructo
Aurora,destructo
Gianni Gebbia,Peter Kowald
Gianni Gebbia,Günter Sommer
Günter Sommer,Peter Kowald
Monie Love,True Image
Art of Noise,Max Headroom
Leo Pari,Piotta
Leo Pari,Radici nel cemento
Piotta,Radici nel cemento
Chris Brown,Rihanna
JAY‐Z,Rihanna
Chris Brown,JAY‐Z
BeBe Winans,Eternal
Hungarian Festival Chorus,Magyar Rádió gyermekkórusa
Magyar Rádió gyermekkórusa,Nemzeti Filharmonikus zenekar
Géza Oberfrank,Magyar Rádió gyermekkórusa
Hungarian Festival Chorus,Nemzeti Filharmonikus zenekar
Géza Oberfrank,Hungarian Festival Chorus
Géza Oberfrank,Nemzeti Filharmonikus zenekar
Narodowa Orkiestra Symfoniczna Polskiego Radia w Katowicach,Zofia Kilanowicz
Antoni Wit,Zofia Kilanowicz
Antoni Wit,Narodowa Orkiestra Symfoniczna Polskiego Radia w Katowicach
Capella Istropolitana,Wolfgang Sobotka
Nicola Martinucci,Slovenský filharmonický zbor
Nicola Martinucci,Symfonický orchester Slovenského rozhlasu
Nicola Martinucci,علی رهبری
Slovenský filharmonický zbor,Symfonický orchester Slovenského rozhlasu
Slovenský filharmonický zbor,علی رهبری
Symfonický orchester Slovenského rozhlasu,علی رهبری
Magyar Rádió és Televízió énekkara,Slovenský filharmonický zbor
Failoni Kamarazenekar,Magyar Rádió és Televízió énekkara
Magyar Rádió és Televízió énekkara,علی رهبری
Failoni Kamarazenekar,Slovenský filharmonický zbor
Failoni Kamarazenekar,علی رهبری
Oliver von Dohnányi,Slovenská filharmónia
Mutt,Perpetuum
Dizplay,N.Phect
Khanage,Lethal
Stevie Nicks,The Chicks
Bono,Daniel Lanois
Dale North,jaxx
CocoRosie,Spleen
Mark Sandell,Neil Watson
VIRTUALVIBE,Zzr
AeroZ,Tepid
Chris Conley,Say Anything
Quoit,Submerged
Jan Johnston,Svenson & Gielen
Martin O’Donnell,Michael Salvatori
C Paul Johnson,Martin O’Donnell
C Paul Johnson,Michael Salvatori
Jon Bon Jovi,Richie Sambora
Mista Johnson,Tay Zonday
Avril Lavigne,John Rzeznik
RocketMermaid,zykO
Evelio,Matt Cerf
Jaren,Matt Cerf
Evelio,Jaren
Ferry Corsten,Howard Jones
Adrina Thorpe,Armin van Buuren
Paul van Dyk,Starkillers
Austin Leeds,Paul van Dyk
Ashley Tomberlin,Paul van Dyk
Austin Leeds,Starkillers
Ashley Tomberlin,Starkillers
Ashley Tomberlin,Austin Leeds
Lissie,Morgan Page
Arno Cost,Norman Doray
Andy Moor,Markus Schulz
Giuseppe Ielasi,Roel Meelkop
Howard Stelzer,Roel Meelkop
Frans de Waard,Roel Meelkop
Giuseppe Ielasi,Howard Stelzer
Frans de Waard,Giuseppe Ielasi
Frans de Waard,Howard Stelzer
Bluefever,DJ Mårcus
Bluefever,Kasper the Doggy
Cevin Fisher,Sheila Smith
JES,Tiësto
Conjure One,Mel Garside
Birdman,Fabolous
Birdman,Jim Jones
Birdman,Max B
Fabolous,Jim Jones
Fabolous,Max B
Jim Jones,Max B
Skrypnyk,ambient
Oak Thielbar,trickwaters
Blak_Omen,MC
Bladiator,Tepid
ceili,sephfire
Nex,lightwarmth
James George,The Legendary Zoltan
David L. Puga,DragonAvenger
Justice,Simian
Tweex,sephfire
DarkPrinceLuca,Freemind
DarkPrinceLuca,GrayLightning
DarkPrinceLuca,Israfel
Freemind,GrayLightning
Freemind,Israfel
GrayLightning,Israfel
B33J,Cerrax
Cerrax,Sixto Sounds
Cerrax,nonsensicalexis
B33J,Sixto Sounds
B33J,nonsensicalexis
Sixto Sounds,nonsensicalexis
Константин Кинчев,Рикошет
Emmanuel Fratianni,Tommy Tallarico
Laurie Robinson,Tommy Tallarico
Emmanuel Fratianni,Laurie Robinson
Destiny,zykO
Diggi Dis,Thumper
Blak_Omen,Dhsu
Children of the Monkey Machine,Steve Pordon
Children of the Monkey Machine,Dani
Ceracryst,cheez80
Jivemaster,Malcos
DJ Gollum,Felixx
SGX,sephfire
Craig Wasson,John Grisham
Sole Signal,Tweex
Gürzenich‐Orchester Köln,James Conlon
Alpes,Catherine Ribeiro
Complex Numbers,Tecmo
Complex Numbers,KONAMI
Complex Numbers,Technos
Complex Numbers,Natsume
DarkeSword,Sixto Sounds
Re:Actor,Wishes
Karl and Harty,Renfro Valley Boys
Aceyalone,RJD2
Işın Karaca,Nev
Işın Karaca,Onur Mete
Işın Karaca,Yonca Lodi
Nev,Onur Mete
Nev,Yonca Lodi
Onur Mete,Yonca Lodi
AndyOp,Villy Søvndal
50 Cent,Nate Dogg
Big Giant Circles,Sole Signal
Big Giant Circles,Tweex
Paul Levasseur,University of Manitoba Symphony Orchestra
Buddy Guy,Carlos Santana
Buddy Guy,John Mayer
Baddd Spellah,MC Frontalot
Huss und Hodn,Stef der Crashtest
Huss und Hodn,Noy Riches
Huss und Hodn,Sylabil Spill
Noy Riches,Stef der Crashtest
Stef der Crashtest,Sylabil Spill
Noy Riches,Sylabil Spill
Alicia Keys,Coldplay
Fishy,Mattias Häggström Gerdt
David Usher,Marie‐Mai
Duke Ellington,Louis Armstrong
Count Basie,Frank Sinatra
Count Basie,Joe Williams
Count Basie Big Band,Tony Bennett
Diane Schuur,The Count Basie Orchestra
B.B. King,Tony Bennett
Frank Sinatra,Woody Herman & the Herd
Anita O’Day,Gene Krupa
Al Grey,J.J. Johnson
John Pizzarelli,Rosemary Clooney
Count Basie,Duke Ellington
Diana Krall,Tony Bennett
Count Basie,Zoot Sims
Count Basie,Milt Jackson
小西香葉,近藤由紀夫
大江千里,陰陽座
John Williams,Paul Daniel
London Symphony Orchestra,Paul Daniel
Illoyal,JAW
Holgerrr,JAW
Holgerrr,Illoyal
JAW,KASH
JAW,Tolwut
Def Leppard,Taylor Swift
Lenny Henry,Neil Gaiman
Linval Thompson,The Revolutionaries
初音ミク,海老福
Ronnie Lane,Ronnie Wood
Mirella Freni,Plácido Domingo
Plácido Domingo,Renato Bruson
Nicolaï Ghiaurov,Plácido Domingo
Orchestra del Teatro alla Scala di Milano,Plácido Domingo
Coro del Teatro alla Scala di Milano,Plácido Domingo
Plácido Domingo,Riccardo Muti
Mirella Freni,Renato Bruson
Mirella Freni,Nicolaï Ghiaurov
Mirella Freni,Orchestra del Teatro alla Scala di Milano
Coro del Teatro alla Scala di Milano,Mirella Freni
Mirella Freni,Riccardo Muti
Nicolaï Ghiaurov,Renato Bruson
Orchestra del Teatro alla Scala di Milano,Renato Bruson
Coro del Teatro alla Scala di Milano,Renato Bruson
Renato Bruson,Riccardo Muti
Nicolaï Ghiaurov,Orchestra del Teatro alla Scala di Milano
Coro del Teatro alla Scala di Milano,Nicolaï Ghiaurov
Nicolaï Ghiaurov,Riccardo Muti
Coro del Teatro alla Scala di Milano,Orchestra del Teatro alla Scala di Milano
Orchestra del Teatro alla Scala di Milano,Riccardo Muti
Coro del Teatro alla Scala di Milano,Riccardo Muti
Gianfranco Manganotti,Renato Bruson
Jolanda Michieli,Mirella Freni
Jolanda Michieli,Renato Bruson
Gianfranco Manganotti,Plácido Domingo
Jolanda Michieli,Plácido Domingo
Alfredo Giacomotti,Plácido Domingo
Gianfranco Manganotti,Mirella Freni
Alfredo Giacomotti,Mirella Freni
Alfredo Giacomotti,Renato Bruson
Gianfranco Manganotti,Nicolaï Ghiaurov
Jolanda Michieli,Nicolaï Ghiaurov
Alfredo Giacomotti,Nicolaï Ghiaurov
Gianfranco Manganotti,Jolanda Michieli
Alfredo Giacomotti,Gianfranco Manganotti
Alfredo Giacomotti,Jolanda Michieli
Against Nature,Butch Balich
Against Nature,Vicky Walters
Darrien Kelly,Omar Santana
Clipse,Pharrell Williams
Pharrell Williams,Ye
Dan Andrei Aldea,Dan Bădulescu
P‐Money,Scribe
4 Corners,Tyra Hammond
Big2,Brace
Big2,QF
Big2,Rotjoch
Big2,Nina
Big2,Sjaak
Brace,QF
Brace,Rotjoch
Brace,Nina
Brace,Sjaak
QF,Rotjoch
Nina,QF
QF,Sjaak
Nina,Rotjoch
Rotjoch,Sjaak
Nina,Sjaak
AB+,Jianda Monique
DJ Goyim,DJ Intermodal
Arrow,LeeBro
Sadorf,Sir_NutS
Red Tailed Fox,prophetik music
MC Rene,Sido
Mary J. Blige,U2
Jonas Steur,Julie Thompson
Nurlaila,Ohmna
Nick Phoenix,Thomas Bergersen
John Sponsler,Tom Gire
Faryus,Oöphoi
Boosta,Skin
Crookers,La Pisa
Marcie,Yamin
Delline Bass,Reflekt
Cosmic Gate,Emma Hewitt
Alex M.O.R.P.H.,Roberta Carter‐Harrison
Cerf, Mitiska & Jaren,Dash Berlin
Armin van Buuren,Cathy Burton
Armin van Buuren,Vera Ostrova
Alan R. Splet,David Lynch
Nicole Adams,injury
Entheogen,Nicole Adams
Entheogen,injury
Mark Padmore,Roger Vignoles
Bad Loop,Claire Mobey
EEPROM,Low Pros
Dubcreator,Lyrical Ben
Dubcreator,Sister Nadia
Miha Guštin,Polona Kasal
Diggy Dex,Eva De Roovere
DJ Vela,FX
Toki Wartooth,William Murderface
Tinchy Stryder,Toddla T
Mr Versatile,Toddla T
Toddla T,Untold
Mr Versatile,Tinchy Stryder
Tinchy Stryder,Untold
Mr Versatile,Untold
Bodo Wartke,Melanie Haupt
Alexander “Ace” Baker,Clair Marlo
Andrew Britton,David Goldsmith
Babu,D‐Styles
DJ QBert,D‐Styles
D‐Styles,Melo‐D
Babu,DJ QBert
Babu,Melo‐D
DJ QBert,Melo‐D
Dizzee Rascal,Madonna
Leviathan,aMUSiC
JAY‐Z,Steve Porter
Beyoncé,Steve Porter
Rihanna,Steve Porter
Steve Porter,Ye
Drake,Steve Porter
Lil Wayne,Steve Porter
Drake,JAY‐Z
JAY‐Z,Lil Wayne
Beyoncé,Rihanna
Beyoncé,Ye
Beyoncé,Drake
Beyoncé,Lil Wayne
Rihanna,Ye
Drake,Rihanna
Lil Wayne,Rihanna
Drake,Ye
Lil Wayne,Ye
Drake,Lil Wayne
Carsten Nicolai,Zeitkratzer
Dixan,Synteesi
Gloom,Trenedy
Flipside,Gloom
8 Bit Weapon,ComputeHer
Gloom,Satcom101
Gloom,Little Bitchard
Bernie Mac,Samuel L. Jackson
Chris Brown,Dame
Бигуди,Евгений Гришковец
Flo Rida,Rick Ross
Los Auténticos Decadentes,Todos Tus Muertos
MIKA,Émilie Simon
DJ Shadow,Zack de la Rocha
Paris Grey,Terry Baldwin
Arthur Fiedler,Boston Pops Orchestra
De La Ghetto,Randy
Dred,Them
Little Bitchard,Mel Function
DarkCecil13,injury
Actor Dolban,Little Bitchard
Actor Dolban,Mel Function
1in10,Little Bitchard
110rnd,Little Bitchard
Fred Funk,Little Bitchard
Little Bitchard,Synteesi
George London,Orchestra dell’Accademia Nazionale di Santa Cecilia
Francesco Molinari‐Pradelli,George London
Francesco Molinari‐Pradelli,Orchestra dell’Accademia Nazionale di Santa Cecilia
George London,Mario Del Monaco
Mario Del Monaco,Piero de Palma
Mario Del Monaco,Renata Tebaldi
